Keys,Values
Tên TCPH:,"
Công ty cổ phần Bourbon Bến Lức
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Bourbon Bến Lức
Mã chứng khoán:,BBL
Mã ISIN:,VN000000BBL7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"Số 02/2013/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 07/01/2013, Số 02/2013/GCNCP-VSD-1 cấp thay đổi lần một ngày 18/3/2015"
Tổng số chứng khoán đăng ký:,14.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,148.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
