Keys,Values
Tên TCPH:,"
Công ty cổ phần Xây dựng Sông Hồng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xây dựng Sông Hồng
Mã chứng khoán:,ICG
Mã ISIN:,VN000000ICG0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 06/2009/GCNCP-TTLK do VSD cấp lần đầu ngày 09/03/2009, Số 06/2009/GCNCP- VSD-1 cấp thay đổi lần 1 ngày 15/09/2010"
Tổng số chứng khoán đăng ký:,20.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,200.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
