Keys,Values
Tên TCPH:,"
Công ty cổ phần Tư vấn thiết kế và Phát triển đô thị
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tư vấn thiết kế và Phát triển đô thị
Mã chứng khoán:,CDO
Mã ISIN:,VN000000CDO5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 07/2015/GCNCP-VSD do VSD cấp ngày 27/1/2015,  Số 07/2015/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 02/11/2016"
Tổng số chứng khoán đăng ký:,31.504.975 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,315.049.750.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
