Keys,Values
Tên TCPH:,"
Công ty cổ phần Kiên Hùng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Kiên Hùng
Mã chứng khoán:,KHS
Mã ISIN:,VN000000KHS0
Loại chứng khoán:, Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số: 223/2017/GCNCP-VSD cấp lần đầu ngày 11/12/2017, Số: 223/2017/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 16/08/2019"
Tổng số chứng khoán đăng ký:,12.090.969 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,120.909.690.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
