Keys,Values
Tên TCPH:,"
Tổng công ty Lâm nghiệp Việt Nam - Công ty cổ phần
"
Tên chứng khoán:,Cổ phiếu Tổng công ty Lâm nghiệp Việt Nam - Công ty cổ phần
Mã chứng khoán:,VIF
Mã ISIN:,VN000000VIF2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 222/2016/GCNCP-VSD do VSD cấp ngày 29/12/2016
Tổng số chứng khoán đăng ký:,350.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.500.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
