Keys,Values
Tên TCPH:,"
Công ty cổ phần Công nghiệp Gốm sứ TAICERA
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Công nghiệp Gốm sứ TAICERA
Mã chứng khoán:,TCR
Mã ISIN:,VN000000TCR4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 94/2006/GCNCP-VSD-10 do TTLKCK Việt Nam cấp lần đầu ngày 27/12/2006, số 94/2006/GCNCP-VSD-12 cấp  thay đổi lần 12 ngày 30/12/2016"
Tổng số chứng khoán đăng ký:,45.432.836 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,454.328.360.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
