Keys,Values
Tên TCPH:,"
Công ty cổ phần Dược phẩm Tipharco
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Dược phẩm Tipharco
Mã chứng khoán:,DTG
Mã ISIN:,VN000000DTG5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 24/2017/GCNCP-VSD do VSD cấp lần đầu ngày 19/01/2017, Số: 24/2017/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 12/9/2019"
Tổng số chứng khoán đăng ký:,6.315.928 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,63.159.280.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
