Keys,Values
Tên TCPH:,"
Công ty TNHH Một thành viên Lâm nghiệp Nguyễn Văn Trỗi (Tên doanh nghiệp dự kiến sau khi cổ phần hóa:  Công ty cổ phần Lâm nghiệp Nguyễn Văn Trỗi)
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Lâm nghiệp Nguyễn Văn Trỗi
Mã chứng khoán:,LTQ
Mã ISIN:,VN000000LTQ7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 12-CPH/2019/GCNCP-VSD do VSD cấp ngày 03/06/2019
Tổng số chứng khoán đăng ký:,1.781.200 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,17.812.000.000 đồng
Hình thức đăng ký:,Cổ phiếu phổ thông
Nơi quản lý tại VSD:,Trụ sở chính
