Keys,Values
Tên TCPH:,"
Công ty cổ phần DNP Holding
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần DNP Holding
Mã chứng khoán:,DNP
Mã ISIN:,VN000000DNP9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 57/2006 /GCNCP-CNVSD do VSD cấp lần đầu ngày 12/12/2006; Số: 57/2006/GCNCP-VSD-13 cấp thay đổi lần 13 ngày 30/05/2022
Tổng số chứng khoán đăng ký:,118.909.913 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.189.099.130.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
