Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va
"
Tên chứng khoán:,Trái phiếu NVLG09201702
Mã chứng khoán:,NVL21603
Mã ISIN:,VN0NVL216034
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 08/2017/GCNTP-VSD do VSD cấp lần đầu ngày 20/03/2017
Tổng số chứng khoán đăng ký:,1.500.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,150.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh phát hành theo phương thức cố gắng tối đa
Lãi suất:,0%/năm
Cách thức trả lãi:,Không áp dụng
Kỳ hạn:,367 ngày
Ngày phát hành:,09/09/2016
Ngày đáo hạn:,11/09/2017
Nơi quản lý tại VSD:,Chi nhánh
