Keys,Values
Tên TCPH:,"
Công ty cổ phần Thủy điện Hủa Na
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thủy điện Hủa Na
Mã chứng khoán:,HNA
Mã ISIN:,VN000000HNA2
Loại chứng khoán:,Cổ phiếu phổ thông 
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 163 /2017/GCNCP-VSD do VSD cấp ngày 22/08/2017, Số: 163/2017/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 19/06/2020"
Tổng số chứng khoán đăng ký:,235.232.210 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.352.322.100.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
