Keys,Values
Tên TCPH:,"
Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng
Mã chứng khoán:,PTS
Mã ISIN:,VN000000PTS4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 11/2006/GCNCP-VSD do VSD cấp lần đầu ngày 23/11/2006, Số 11/2006/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 10/07/2012"
Tổng số chứng khoán đăng ký:,5.568.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,55.680.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
