Keys,Values
Tên TCPH:,"
Công ty cổ phần Vận tải Sản phẩm khí Quốc tế
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Vận tải Sản phẩm khí Quốc tế
Mã chứng khoán:,GSP
Mã ISIN:,VN000000GSP1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 74/2011/GCNCP-VSD do Trung tâm Lưu ký Chứng khoán Việt Nam cấp lần đầu ngày 29/11/2011, Số 74/2011/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 17/12/2021"
Tổng số chứng khoán đăng ký:,55.799.445 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,557.994.450.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
