Keys,Values
Tên TCPH:,"
Tổng Công ty Gas Petrolimex - CTCP
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty Gas Petrolimex - CTCP
Mã chứng khoán:,PGC
Mã ISIN:,VN000000PGC5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 38/2006/GCNCP-CNTTLK do Trung tâm Lưu ký Chứng khoán Việt Nam cấp lần đầu ngày 14/11/2006, Số 38/2006/GCNCP-VSD-6 cấp sửa đổi lần 6 ngày 04/02/2016"
Tổng số chứng khoán đăng ký:,60.342.638 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,603.426.380.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
