Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Công nghệ CMC
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần tập đoàn Công nghệ CMC
Mã chứng khoán:,CMG
Mã ISIN:,VN000000CMG2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 2/2010/GCNCP-CNVSD do VSD cấp lần đầu ngày 12/01/2010, Số 2/2010/GCNCP-VSD-5 cấp thay đổi lần thứ 5 ngày 15/03/2022"
Tổng số chứng khoán đăng ký:,108.998.883 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.089.988.830.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
