Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Phát triển Xây dựng Hội An
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Phát triển Xây dựng Hội An
Mã chứng khoán:,DIH
Mã ISIN:,VN000000DIH6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 09/2011/GCNCP-VSD do VSD cấp ngày 26/01/2011, số 09/2011/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 05/12/2018"
Tổng số chứng khoán đăng ký:,5.994.962 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,59.949.620.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
