Keys,Values
Tên TCPH:,"
Công ty cổ phần Cơ khí và thiết bị áp lực – VVMI
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cơ khí và thiết bị áp lực – VVMI
Mã chứng khoán:,APL
Mã ISIN:,VN000000APL9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 94/2016/GCNCP-VSD do VSD cấp ngày 09/09/2016 
Tổng số chứng khoán đăng ký:,1.200.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,12.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
