Keys,Values
Tên TCPH:,"
Ngân hàng Thương mại cổ phần Tiên Phong
"
Tên chứng khoán:,Cổ phiếu Ngân hàng Thương mại cổ phần Tiên Phong
Mã chứng khoán:,TPB
Mã ISIN:,VN000000TPB0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 149/2016/GCNCP-VSD do VSD cấp lần đầu ngày 22/11/2016, số 149/2016/GCNCP-VSD-5 cấp thay đổi lần 5 ngày 04/01/2022"
Tổng số chứng khoán đăng ký:,1.581.755.495 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,15.817.554.950.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
