Keys,Values
Tên TCPH:,"
Công ty CP đầu tư và kinh doanh nhà Khang Điền
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư và kinh doanh nhà Khang Điền
Mã chứng khoán:,KDH
Mã ISIN:,VN000000KDH2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số 11/2010/GCNCP-CNVSD do VSD cấp lần đầu ngày 20/01/2010; số 11/2010/GCNCP-VSD-16 cấp thay đổi lần thứ 16 ngày 28/06/2021
Tổng số chứng khoán đăng ký:,642.937.069 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,6.429.370.690.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
