Keys,Values
Tên TCPH:,"
Công ty cổ phần Công trình Đô thị Bảo Lộc
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Công trình Đô thị Bảo Lộc
Mã chứng khoán:,DTB
Mã ISIN:,VN000000DTB6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 113/2018/GCNCP-VSD do VSD cấp lần đầu ngày 19/12/2018
Tổng số chứng khoán đăng ký:,1.558.248 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,15.582.480.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
