Keys,Values
Tên TCPH:,"
Công ty TNHH Một thành viên Thương mại và Đầu tư Thái Nguyên
"
Tên chứng khoán:,Trái phiếu TNTI102018
Mã chứng khoán:,MSR11606
Mã ISIN:,VN0MSR116069
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 20/2017/GCNTP-VSD do VSD cấp lần đầu ngày 14/02/2017
Tổng số chứng khoán đăng ký:,10.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.000.000.000.000 đồng
Hình thức phát hành:,Trái phiếu được phát hành riêng lẻ thông qua phương thức bảo lãnh phát hành trên cơ sở cố gắng tối đa
Lãi suất:,"+ Đối với 02 kỳ hạn 06 tháng đầu tiên từ ngày phát hành tính lãi: 	8,0%/năm
+ Đối với mỗi kỳ tính lãi sau 02 kỳ tính lãi đầu tiên: lãi suất bằng tổng của 2%/năm và lãi suất tham chiếu. Trong đó, lãi suất tham chiếu là trung bình cộng của các mức lãi suất tiền gửi tiết kiệm cá nhân (trả lãi sau) kỳ hạn 12 tháng (hoặc tương đương) bằng đồng Việt Nam do Ngân hàng TMCP Công thương Việt Nam  - Chi nhánh TP. Hà Nội, Ngân hàng TMCP Ngoại thương Việt Nam - Sở Giao dịch, Ngân hàng NN&PTNN Việt Nam - Sở Giao dịch, Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 1 công bố vào ngày làm việc thứ 7 trước ngày đầu tiên của kỳ xác định lãi suất đó."
Cách thức trả lãi:,Chuyển khoản
Kỳ hạn:,"Lãi được trả sau, định kỳ vào ngày tròn 03 tháng từ ngày phát hành"
Ngày phát hành:,21/12/2016
Ngày đáo hạn:,21/12/2018
Nơi quản lý tại VSD:,Chi nhánh
