Keys,Values
Tên TCPH:,"
Tổng công ty Đầu tư Phát triển nhà và Đô thị Nam Hà Nội
"
Tên chứng khoán:,Cổ phiếu Tổng công ty Đầu tư Phát triển nhà và Đô thị Nam Hà Nội
Mã chứng khoán:,NHA
Mã ISIN:,VN000000NHA2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số 147/2010/GCNCP-VSD do VSD cấp lần đầu ngày 29/06/2010; Số: 147/2010/GCNCP-VSD-12 cấp thay đổi lần 12 ngày 14/04/2022
Tổng số chứng khoán đăng ký:,42.174.520 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,421.745.200.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
