Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chứng khoán KIS Việt Nam
"
Tên chứng quyền:,Chứng quyền.ROS.KIS.M.CA.T.01
Mã chứng quyền:,CROS2001
Mã ISIN:,VN0CROS20011
Mã chứng khoán cơ sở:,ROS
Tổ chức phát hành mã chứng khoán cơ sở:,Công ty cổ phần Xây dựng FLC Faros
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,06 tháng
Ngày đáo hạn:,19/06/2020
Tỷ lệ chuyển đổi:,4:1
Giá thực hiện:,26.468  đồng
Giá phát hành lần đầu:,1.500  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,Số:   01/2020/GCNCW-VSD do VSD cấp ngày 06/01/2020
Số lượng chứng quyền đăng ký lần đầu tại VSD:,10.000.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,15.000.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,20.000.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
