Keys,Values
Tên TCPH:,"
Tổng Công ty Cổ phần Bảo hiểm Quân Đội
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty Cổ phần Bảo hiểm Quân Đội
Mã chứng khoán:,MIG
Mã ISIN:,VN000000MIG9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 80/2017/GCNCP-VSD do VSD cấp ngày 14/4/2017, số 80/2017/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 20/07/2021"
Tổng số chứng khoán đăng ký:,143.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.430.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
