Keys,Values
Tên TCPH:,"
Công ty cổ phần Than Hà Tu - Vinacomin
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Than Hà Tu - Vinacomin
Mã chứng khoán:,THT
Mã ISIN:,VN000000THT9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 43 /2008/GCNCP-VSD do VSD cấp lần đầu ngày 02/10/2008, Số 43 /2008/GCNCP-VSD-3 cấp thay đổi lần thứ 3 ngày 13/07/2016"
Tổng số chứng khoán đăng ký:,24.569.052 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,245.690.520.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
