Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán Châu á - Thái Bình Dương
"
Tên chứng khoán:,Cổ phiếu CTCP Chứng khoán Châu á - Thái Bình Dương
Mã chứng khoán:,APS
Mã ISIN:,VN000000APS4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 13/2009/GCNCP-VSD do VSD cấp lần đầu ngày 12/06/2009, Số 13/2009/GCNCP-VSD-3 thay đổi lần 3 ngày 20/01/2022"
Tổng số chứng khoán đăng ký:,83.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,830.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
