Keys,Values
Tên TCPH:,"
Công ty cổ phần Xuất nhập khẩu Kiên Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xuất nhập khẩu Kiên Giang
Mã chứng khoán:,KGM
Mã ISIN:,VN000000KGM5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 153/2017/GCNCP-VSD do VSD cấp lần đầu ngày 04/08/2017
Tổng số chứng khoán đăng ký:,25.430.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,254.300.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
