Keys,Values
Tên TCPH:,"
CTCP Đầu tư sản xuất thương mại Kim Phong
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư sản xuất thương mại Kim Phong
Mã chứng khoán:,KPC
Mã ISIN:,VN000000KPC7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 99/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 15/04/2010
Tổng số chứng khoán đăng ký:,25.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,250.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
