Keys,Values
Tên TCPH:,"
Công ty cổ phần Phân lân Ninh Bình
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Phân lân Ninh Bình
Mã chứng khoán:,NFC
Mã ISIN:,VN000000NFC2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 31/2013/GCNCP-VSD do VSD cấp lần đầu ngày 30/12/2013, 31/2013/GCNCP-VSD-1 câp thay đổi lần 1 ngày 19/07/2016"
Tổng số chứng khoán đăng ký:,15.731.260 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,157.312.600.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
