Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng
Mã chứng khoán:,DAD
Mã ISIN:,VN000000DAD2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 43/2009/GCNCP-VSD do VSD cấp lần đầu ngày 12/08/2009
Tổng số chứng khoán đăng ký:,5.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,50.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
