Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư  Xây dựng Long An IDICO
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Xây dựng Long An IDICO
Mã chứng khoán:,LAI
Mã ISIN:,VN000000LAI4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 51/2015/GCNCP-VSD do VSD cấp lần đầu ngày 02/07/2015
Tổng số chứng khoán đăng ký:,8.550.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,85.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
