Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường Đô thị Sóc Sơn
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường Đô thị Sóc Sơn
Mã chứng khoán:,SSU
Mã ISIN:,VN000000SSU6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 163/2016/GCNCP-VSD do VSD cấp lần đầu ngày 01/12/2016
Tổng số chứng khoán đăng ký:,2.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,25.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
