Keys,Values
Tên TCPH:,"
Công ty cổ phần Xây lắp Phát triển Nhà Đà Nẵng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xây lắp Phát triển Nhà Đà Nẵng
Mã chứng khoán:,NDX
Mã ISIN:,VN000000NDX3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 11/2013/GCNCP-VSD do VSD Nam cấp lần đầu ngày 19/06/2013, Số 11/2013/GCNCP-VSD-5 cấp thay đổi lần 5 ngày 01/12/2020"
Tổng số chứng khoán đăng ký:,9.987.557 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,99.875.570.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
