Keys,Values
Tên TCPH:,"
Công ty cổ phần Vinatex Đà Nẵng
"
Tên chứng khoán:,Cổ phiếu CTCP Vinatex Đà Nẵng
Mã chứng khoán:,VDN
Mã ISIN:,VN000000VDN7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 17/2010/GCNCP-VSD do VSD cấp lần đầu ngày 21/01/2010, số 17/2010/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 16/08/2016"
Tổng số chứng khoán đăng ký:,2.993.910 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,29.939.100.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
