Keys,Values
Tên TCPH:,"
Công ty Cổ phần Lương thực Thực phẩm Safoco
"
Tên chứng khoán:,Cổ phiếu CTCP Lương thực Thực phẩm Safoco
Mã chứng khoán:,SAF
Mã ISIN:,VN000000SAF5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 95/2006/GCNCP-VSD-3 do VSD cấp lần đầu ngày 26/12/2006, số 95/2006/GCNCP-VSD-5 cấp thay đổi lần thứ 5 ngày 23/06/2020"
Tổng số chứng khoán đăng ký:,10.055.789 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,100.557.890.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
