Keys,Values
Tên TCPH:,"
Công ty cổ phần Thuốc sát trùng Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thuốc sát trùng Việt Nam
Mã chứng khoán:,VPS
Mã ISIN:,VN000000VPS0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 40/2015/GCNCP-VSD do VSD cấp lần đầu ngày 15/6/2015, Số 40/2015/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 24/11/2016"
Tổng số chứng khoán đăng ký:,24.460.792 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,244.607.920.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
