Keys,Values
Tên TCPH:,"
Công ty cổ phần văn phòng phẩm Hồng Hà
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần văn phòng phẩm Hồng Hà
Mã chứng khoán:,HHA
Mã ISIN:,VN000000HHA4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 18/2014/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 13/03/2014
Tổng số chứng khoán đăng ký:,5.896.100 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,58.961.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
