Keys,Values
Tên TCPH:,"
Công ty cổ phần Thương mại và Đại lý Dầu tỉnh Bà Rịa - Vũng Tàu
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thương mại và Đại lý Dầu tỉnh Bà Rịa - Vũng Tàu
Mã chứng khoán:,TMD
Mã ISIN:,VN000000TMD3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"số 190/2010/GCNCP-VSD-1 do VSD cấp lần đầu ngày 05/08/2010, cấp thay đổi lần 1 ngày 04/04/2012"
Tổng số chứng khoán đăng ký:,4.513.859 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,45.138.590.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
