Keys,Values
Tên TCPH:,"
Ngân hàng TMCP Đại Á
"
Tên chứng khoán:,Cổ phiếu Ngân hàng thương mại cổ phần Đại á
Mã chứng khoán:,DAB
Mã ISIN:,VN000000DAB6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 31/2009/GCNCP-TTLK do TTLKCK Việt Nam cấp ngày 06/08/2009
Tổng số chứng khoán đăng ký:,620.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,6.200.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
