Keys,Values
Tên TCPH:,"
CTCP Kỹ thuật Điện Toàn Cầu
"
Tên chứng khoán:,Cổ phiếu CTCP Kỹ thuật Điện Toàn Cầu
Mã chứng khoán:,GLT
Mã ISIN:,VN000000GLT8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 92/2009/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 17/11/2009, cấp thay đổi lần 1 ngày 27/8/2010"
Tổng số chứng khoán đăng ký:,9.236.446 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,92.364.460.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
