Keys,Values
Tên TCPH:,"
CTCP Cáp treo Núi Bà Tây Ninh
"
Tên chứng khoán:,Cổ phiếu CTCP Cáp treo Núi Bà Tây Ninh
Mã chứng khoán:,TCT
Mã ISIN:,VN000000TCT0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 44/2009/GCNCP-CNVSD-3 do VSD cấp lần đầu ngày 27/11/2006, cấp thay đổi lần 3 ngày 21/11/2014"
Tổng số chứng khoán đăng ký:,12.788.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,127.880.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
