Keys,Values
Tên TCPH:,"
Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn
Mã chứng khoán:,SAB
Mã ISIN:,VN000000SAB4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 143/2016/GCNCP-VSD do VSD cấp lần đầu ngày 15/11/2016
Tổng số chứng khoán đăng ký:,641.281.186 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,6.412.811.860.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
