Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước Hà Nội
"
Tên chứng khoán:,Trái phiếu Xây dựng Thủ đô năm 2006 kỳ hạn 5 năm (đấu thầu)
Mã chứng khoán:,HN061101
Mã ISIN:,VN0HN0611014
Loại chứng khoán:,Trái phiếu Chính quyền địa phương
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,66/2006/GCNTP-TTLK cấp ngày 02/11/2006
Tổng số chứng khoán đăng ký:,400.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,40.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,8.7%/năm
Cách thức trả lãi:,"Trả sau, định kỳ 1 năm 1 lần"
Kỳ hạn:,5 năm
Ngày phát hành:,24/10/2006
Ngày đáo hạn:,24/10/2011
Nơi quản lý tại VSD:,Trụ sở chính
