Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đầu tư Xây dựng và Phát triển hạ tầng Viễn thông
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Đầu tư Xây dựng và Phát triển hạ tầng Viễn thông
Mã chứng khoán:,QCC
Mã ISIN:,VN000000QCC2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 226/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 21/09/2010, số 226/2010/GCNCP-VSD-1 thay đổi lần 1 ngày 04/05/2016"
Tổng số chứng khoán đăng ký:,1.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,15.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
