Keys,Values
Tên TCPH:,"
Công ty cổ phần bóng đèn Điện Quang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Bóng đèn Điện Quang
Mã chứng khoán:,DQC
Mã ISIN:,VN000000DQC0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 22/2008/GCNCP-CNTTLK do VSD cấp lần đầu ngày 04/02/2008, Số 22/2008/GCNCP-VSD-5 cấp thay đổi lần 5 ngày 07/07/2016"
Tổng số chứng khoán đăng ký:,34.359.416 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,343.594.160.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
