Keys,Values
Tên TCPH:,"
Công ty cổ phần Thủy điện Sông Chảy 5
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thủy điện Sông Chảy 5
Mã chứng khoán:,SCH
Mã ISIN:,VN000000SCH7
Loại chứng khoán:, Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 193/2016/GCNCP-VSD do VSD cấp lần đầu ngày 15/12/2016
Tổng số chứng khoán đăng ký:,15.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,150.000.000.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
