Keys,Values
Tên TCPH:,"
CTCP Xuất nhập khẩu và Xây dựng Công trình
"
Tên chứng khoán:,Cổ phiếu CTCP XNK và Xây dựng công trình
Mã chứng khoán:,TNM
Mã ISIN:,VN000000TNM2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 51/2009/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 09/09/2009, số 51/2009/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 19/10/2017"
Tổng số chứng khoán đăng ký:,5.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,58.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
