Keys,Values
Tên TCPH:,"
CTCP Tập đoàn Thủy sản Minh Phú
"
Tên chứng khoán:,Cổ phiếu CTCP Tập đoàn Thủy sản Minh Phú
Mã chứng khoán:,MPC
Mã ISIN:,VN000000MPC3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 108/2010/GCNCP-CNVSD cấp lần đầu ngày 26/12/2006,  Số: 108/2010/GCNCP-CNVSD- 5 cấp thay đổi lần 5 ngày 23/08/2018"
Tổng số chứng khoán đăng ký:,200.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.000.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
