Keys,Values
Tên TCPH:,"
Công ty TNHH Quản lý quỹ SSI
"
Tên chứng khoán:,Chứng chỉ Quỹ ETF SSIAM VN30
Mã chứng khoán:,FUESSV30
Mã ISIN:,VN0FUESSV306
Loại chứng khoán:,Chứng chỉ quỹ
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận đăng ký chứng chỉ quỹ:,Số 04/2020/GCNETF-VSD do VSD cấp lần đầu ngày ngày 27/7/2020; Số 04/2020/GCNETF-VSD-30 cấp thay đổi lần thứ 30 ngày 15/04/2022
Tổng số chứng khoán đăng ký:,5.400.000 Chứng chỉ quỹ
Tổng giá trị chứng khoán đăng ký:,54.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
