Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường và Công trình đô thị Bắc Ninh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường và Công trình đô thị Bắc Ninh
Mã chứng khoán:,MBN
Mã ISIN:,VN000000MBN0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 237/2017/GCNCP-VSD do VSD cấp ngày28/12/2017
Tổng số chứng khoán đăng ký:,5.750.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,57.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
