Keys,Values
Tên TCPH:,"
Công ty cổ phần B.C.H
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần B.C.H
Mã chứng khoán:,BCA
Mã ISIN:,VN000000BCA8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 23/2021/GCNCP-VSD do VSD cấp lần đầu ngày 01/06/2021
Tổng số chứng khoán đăng ký:,19.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,190.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
