Keys,Values
Tên TCPH:,"
Ngân hàng Thương mại cổ phần Sài Gòn Công thương
"
Tên chứng khoán:,Cổ phiếu Ngân hàng Thương mại cổ phần Sài Gòn Công thương
Mã chứng khoán:,SGB
Mã ISIN:,VN000000SGB1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 70/2014/GCNCP-VSD do VSD cấp ngày 29/09/2014
Tổng số chứng khoán đăng ký:,308.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.080.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
