Keys,Values
Tên TCPH:,"
Công ty cổ phần Dược phẩm Viễn Đông
"
Tên chứng khoán:,Cổ phiếu CTCP Dược phẩm Viễn Đông
Mã chứng khoán:,DVD
Mã ISIN:,VN000000DVD8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 120/2009/GCNCP-CNVSD do TTLKCK Việt Nam cấp ngày 15/12/2009
Tổng số chứng khoán đăng ký:,11.910.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,119.100.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
