Keys,Values
Tên TCPH:,"
Công ty Cổ phần Ô tô TMT
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Ô tô TMT
Mã chứng khoán:,TMT
Mã ISIN:,VN000000TMT9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số 7/2010/GCNCP-CNVSD  do VSD cấp ngày 15/01/2010. Số 7/2010/GCNCP-VSD-6 cấp thay đổi lần 6 ngày 21/10/2016
Tổng số chứng khoán đăng ký:,37.287.680 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,372.876.800.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
