Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Xây dựng Viễn thông Cần Thơ
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Xây dựng Viễn thông Cần Thơ
Mã chứng khoán:,XVC
Mã ISIN:,VN000000XVC8
Loại chứng khoán:,  Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:, số 31/2020/GCNCP-VSD do VSD cấp ngày 12/05/2020
Tổng số chứng khoán đăng ký:,500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,5.000.000.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
