Keys,Values
Tên TCPH:,"
Công ty cổ phần Harec Đầu tư và Thương Mại
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Harec Đầu tư và Thương Mại
Mã chứng khoán:,HRB
Mã ISIN:,VN000000HRB1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 180/2017/GCNCP-VSD do VSD cấp ngày 18/09/2017 
Tổng số chứng khoán đăng ký:,6.338.400 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,63.384.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
