Keys,Values
Tên TCPH:,"
Công ty cổ phần Đường Quảng Ngãi
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đường Quảng Ngãi
Mã chứng khoán:,QNS
Mã ISIN:,VN000000QNS5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 61/2014/GCNCP-VSD do VSD cấp lần đầu ngày 05/09/2014, Số: 61/2014/GCNCP-VSD-7 cấp thay đổi lần 7 ngày 21/06/2019"
Tổng số chứng khoán đăng ký:,356.939.955 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.569.399.550.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
