Keys,Values
Tên TCPH:,"
Công ty cổ phần vận tải biển VINASHIP
"
Tên chứng khoán:,Cổ phiếu công ty cổ phần vận tải biển VINASHIP
Mã chứng khoán:,VNA
Mã ISIN:,VN000000VNA3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 41/2008/GCNCP-CNTTLK do TTLKCK Việt Nam cấp ngày 10/04/2008
Tổng số chứng khoán đăng ký:,20.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,200.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
