Keys,Values
Tên TCPH:,"
CTCP Dịch vụ Kỹ thuật điện lực dầu khí Việt Nam
"
Tên chứng khoán:,Cổ phiếu CTCP Dịch vụ Kỹ thuật điện lực dầu khí Việt Nam
Mã chứng khoán:,PPS
Mã ISIN:,VN000000PPS2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 305/2010/GCNCP-VSD do VSD cấp ngày 28/12/2010
Tổng số chứng khoán đăng ký:,15.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,150.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
