Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Tài chính Hoàng Minh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Tài chính Hoàng Minh
Mã chứng khoán:,KPF
Mã ISIN:,VN000000KPF0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 29/2015/GCNCP-VSD do VSD cấp lần đầu ngày 21/05/2015, số 29/2015/GCNCP-VSD-5 cấp thay đổi lần 5 ngày 21/01/2022"
Tổng số chứng khoán đăng ký:,60.867.241 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,608.672.410.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
