Keys,Values
Tên TCPH:,"
CTCP Phát triển Công viên cây xanh và Đô thị Vũng Tàu
"
Tên chứng khoán:,Cổ phiếu CTCP phát triển Công viên cây xanh và Đô thị Vũng Tàu
Mã chứng khoán:,UPC
Mã ISIN:,VN000000UPC6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 254/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 27/10/2010
Tổng số chứng khoán đăng ký:,3.400.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,34.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
