Keys,Values
Tên TCPH:,"
Công ty Cổ phần Khoáng sản Mangan
"
Tên chứng khoán:,cổ phiếu Công ty Cổ phần Khoáng sản Mangan
Mã chứng khoán:,MMC
Mã ISIN:,VN000000MMC0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 33/2008/GCNCP-TTLK do VSD cấp lần đầu ngày 18/07/2008. Số 33/2008/GCNCP-VSD-1 do VSD cấp thay đổi lần 1 ngày 01/09/2010
Tổng số chứng khoán đăng ký:,3.160.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,31.600.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
