Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Đạt Phương
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn Đạt Phương
Mã chứng khoán:,DPG
Mã ISIN:,VN000000DPG3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 220/2016/GCNCP-VSD do VSD cấp lần đầu ngày 29/12/2016, Số 220/2016/GCNCP-VSD-5 cấp thay đổi lần 5 ngày 16/12/2021"
Tổng số chứng khoán đăng ký:,62.999.554 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,629.995.540.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
