Keys,Values
Tên TCPH:,"
Công ty cổ phần thủy điện Thác Bà
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thủy điện Thác Bà
Mã chứng khoán:,TBC
Mã ISIN:,VN000000TBC8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 03/2006/GCNCP-TTLK do TTLKCK Việt Nam  cấp lần đầu ngày 24/08/2006
Tổng số chứng khoán đăng ký:,63.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,635.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
